Üretimden Satışlar Genel Sıra No;Firma Adı;Yıl;Üretimden Satışlar;Net Satışlar;Brüt Katma Değer;Özkaynak;Aktif Toplamı;Vergi Öncesi Kar/Zarar;FAVÖK Kar/Zarar;İhracat (Bin $) ;Ücretle Çalışanlar Ortalaması Kişi;Bağlı Olduğu Oda;Sermaye Payı Kamu;Sermaye Payı Özel;Sermaye Payı Yabancı;Sermaye Payı Halka Açık;NACE;NACE Kodu;ISIC;ISIC Kodu;Web Adresi;İl;İlçe;Adres
1;TÜPRAŞTürkiye Petrol Rafinerileri A.Ş.;2021;136.793.346.358,00;149.054.172.327,00;8.803.606.252,00;217.061.610,00;78.610.445.677,00;678.200.495,00;13.726.753.527,00;3.787.554,00;5257;Kocaeli Sanayi Odası;0,00;51,00;0,00;49,00;Kok kömürü ve rafine edilmiş petrol ürünleri imalatı;19        ;Petrol Ürünleri Sanayi;353       ;www.tupras.com.tr;İstanbul;Şişli;Gülbahar Mah. Büyükdere Cad. No. 101A 
2;Ford Otomotiv Sanayi A.Ş.;2021;67.305.202.746,00;71.677.859.207,00;12.814.305.107,00;8.506.575.532,00;39.666.035.567,00;7.312.902.267,00;9.456.187.310,00;5.868.237,00;12832;İstanbul Sanayi Odası;0,00;41,07;41,04;17,89;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.fordotosan.com.tr;İstanbul;Sancaktepe;Akpınar Mah. Hasan Basri Cad. No.2 
3;Star Rafineri A.Ş.;2021;55.187.004.901,00;55.948.713.184,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;99,99;0,01;0,00;Kok kömürü ve rafine edilmiş petrol ürünleri imalatı;19        ;Petrol Ürünleri Sanayi;353       ;www.starrafineri.com.tr;İstanbul;Sarıyer;Ayazağa Mah. Azerbaycan Cad. Vadistanbul Socar Plaza 1D Blok Apt. No.3 E/1
4;Toyota Otomotiv Sanayi Türkiye A.Ş.;2021;46.152.742.040,00;46.947.857.874,00;;;;;;3.839.949,00;5149;Sakarya Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.toyotatr.com;Sakarya;Arifiye;Toyota Cad. No.2 
5;İskenderun Demir ve Çelik A.Ş.;2021;38.669.497.386,00;38.690.799.645,00;17.643.659.529,00;18.363.200.654,00;32.559.464.577,00;17.751.102.067,00;17.035.115.299,00;831.417,00;4768;İskenderun Ticaret ve Sanayi Odası;0,00;94,87;0,00;5,13;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.isdemir.com.tr;Hatay;İskenderun;Karşı Mah. Şehit Yüzbaşı Ali Oğuz Bulvarı No.1 Payas
7;Ereğli Demir ve Çelik Fabrikaları T.A.Ş.;2021;36.787.827.783,00;52.659.491.553,00;10.273.560.715,00;26.684.084.050,00;51.484.396.236,00;22.709.503.172,00;10.939.036.735,00;630.933,00;6109;İstanbul Sanayi Odası;0,00;52,37;0,00;47,63;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.erdemir.com.tr;Zonguldak;Ereğli;Uzunkum Cad. No.7
8;Arçelik A.Ş.;2021;35.788.965.875,00;46.373.407.606,00;4.994.083.219,00;;;3.590.917.540,00;8.179.455.001,00;2.429.573,00;;İstanbul Sanayi Odası;0,00;74,85;0,00;25,15;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.arcelik.com;İstanbul;Beyoğlu;Karaağaç Cad. No.26 Sütlüce
9;OyakRenault Otomobil Fabrikaları A.Ş.;2021;34.413.732.641,00;34.413.732.641,00;;;;;;2.764.203,00;6733;İstanbul Sanayi Odası;0,00;49,00;51,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.oyakrenault.com.tr;İstanbul;Ümraniye;Fatih Sultan Mehmet Mah. Balkan Cad. Casper Plaza No.47 K.1
10;TOFAŞ Türk Otomobil Fabrikası A.Ş.;2021;26.566.750.666,00;31.991.552.801,00;8.176.055.634,00;5.226.053.560,00;18.237.201.977,00;3.632.918.825,00;6.813.776.882,00;1.629.442,00;6575;İstanbul Sanayi Odası;0,00;37,86;37,86;24,28;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.tofas.com.tr;İstanbul;Şişli;Büyükdere Cad. Tofaş Han No.145 Zincirlikuyu
11;İçdaş Çelik Enerji Tersane ve Ulaşım Sanayi A.Ş.;2021;25.762.339.864,00;25.763.375.155,00;2.728.037.461,00;3.709.942.601,00;9.672.242.815,00;1.780.697.143,00;3.719.205.394,00;1.346.732,00;4914;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.icdas.com.tr;İstanbul;Bağcılar;Mahmutbey Mah. Dilmenler Cad. No.20
12;Çolakoğlu Metalurji A.Ş.;2021;25.489.775.154,00;25.514.763.202,00;;;;;;775.725,00;1462;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.colakoglu.com.tr;İstanbul;Beykoz;Rüzgarlıbahçe Mah. Çam Pınarı Sok. No.1 İç Kapı No.16 Kavacık
13;Hyundai Assan Otomotiv San. ve Tic. A.Ş.;2021;21.412.219.022,00;24.871.491.392,00;;;;;;1.980.810,00;;Kocaeli Sanayi Odası;0,00;3,00;97,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.hyundai.com.tr;İstanbul;Kadıköy;Şehit Mehmet Fatih Öngül Sok. No.2 Kozyatağı
14;Tosçelik Profil ve Sac Endüstrisi A.Ş.;2021;20.571.898.572,00;23.284.738.326,00;;;;;;;;İskenderun Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.tosyaliholding.com.tr;Hatay;İskenderun;Organize Sanayi Bölgesi Necati Özsoy Cad. No.12 Sarıseki
15;PETKİM Petrokimya Holding A.Ş.;2021;19.494.418.509,00;29.402.842.139,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;51,00;0,00;49,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.petkim.com.tr;İzmir;Aliağa;Siteler Mah. Necmettin Giritlioğlu Cad. Dış Kapı No.6
16;MercedesBenz Türk A.Ş.;2021;19.153.288.550,00;21.477.736.641,00;;;;;;;;İstanbul Sanayi Odası;7,96;7,05;84,99;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.mercedesbenz.com.tr;İstanbul;Esenyurt;Akçaburgaz Mah. Süleyman Şah Cad. No.2
17;Aselsan Elektronik San. ve Tic. A.Ş.;2021;18.136.907.204,00;18.139.524.257,00;10.362.719.614,00;19.742.910.147,00;50.801.591.171,00;4.608.798.119,00;6.557.632.019,00;111.715,00;8735;Ankara Sanayi Odası;0,00;74,20;0,00;25,80;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26        ;Mesleki, Bilimsel, Sağlık Amaçlı Aletler ve Malzemeler Sanayi;385       ;www.aselsan.com.tr;Ankara;Yenimahalle;Mehmet Akif Ersoy Mah. İstiklal Marşı. Cad. No.16
18;Vestel Beyaz Eşya San. ve Tic. A.Ş.;2021;17.393.409.438,00;20.064.347.721,00;;;;;;;;İstanbul Sanayi Odası;0,00;68,53;0,00;31,47;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.vestel.com.tr;Manisa;Yunusemre;Manisa OSB III. Kısım Keçiliköyosb Mah. Mustafa Kemal Bulvarı No.10
19;BSH Ev Aletleri San. ve Tic. A.Ş.;2021;15.188.612.034,00;20.365.443.980,00;;4.500.379.812,00;9.622.477.827,00;;;975.982,00;8440;İstanbul Sanayi Odası;0,00;0,00;99,98;0,02;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.bshgroup.com.tr;İstanbul;Ümraniye;Fatih Sultan Mehmet Mah. Balkan Cad. No.51
20;Sasa Polyester Sanayi A.Ş.;2021;15.147.767.420,00;15.147.767.420,00;3.831.172.213,00;2.301.976.349,00;20.119.872.596,00;1.361.801.286,00;3.222.984.002,00;409.784,00;4245;Adana Sanayi Odası;0,00;51,00;0,00;49,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.sasa.com.tr;Adana;Seyhan;Sarıhamzalı Mah. Turhan Cemal Beriker Bulvarı No.559
21;Yıldız Entegre Ağaç San. ve Tic. A.Ş.;2021;14.868.906.773,00;15.067.948.202,00;;;;;;;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç);16        ;Ağaç ve Mantar Ürünleri Sanayi;331       ;www.yildizentegre.com.tr;Kocaeli;Kartepe;Arslanbey OSB Mah. 1. Cad. No.13
